---
Bogennummer: '44730'
Ort: Mettau
Gid: 20255
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: "{Der Lehrer notiert gelegentlich eine Art \"Kringel\" über 'u' und dazu\
  \ überdies ein Gravis (für die Aussprache). Ich nehme an, dass der Kringel nur dazu\
  \ dient, 'u' und 'n' klar zu unterscheiden. Deshalb lasse ich diesen \"Kringel\"\
  \ in der Transkription weg. Beispiele: WS1 'Lùft', 'ùme' und WS2 'uuf'; nicht aber\
  \ in WS3 'tùe' und WS4 'gùèt' 'dùrs', 'ùnd'. \nAb WS11 verwendet der Lehrer manchmal\
  \ einen kleines Böglein ' ̆ ' über 'u' und dazu Gravis oder Querstrich. Diese Böglein\
  \ findet sich auch in der Transkription. Beispiele WS11 'um', 'ume'; WS18 'use'.\n\
  Ferner setzt er über 'e' in manchen Fällen ein kleines 'o' (in der Liste des Diakritika\
  \ bei den hoch gestellten Vokalen) ; während andere Lehrer in diesen Fällen das\
  \ Kreislein ' ̊ ' verwenden (in der Liste der Diakritika nach dem Trema).}"
Erstelldatum: 2024-07-18 15:19:51.344557
Änderungsdatum: 2024-09-16 13:24:18.880881
Satzversion: 1
...
WS1	i̇̀m wi̇̀nter flüüge di tròchne blètter i̇̀ deͦr lùft ùme. 
WS12	wō gòòsch häre, sèle-mèr mi̇̀t‿deͦr {Der Lehrer notiert noch einen Bindestrich über dem Verbindungsbogen} choo ?
WS13	eͦs si̇̀nd schlächti zite !
WS14	mi lièbs chi̇̀nd, bli̇̄b dò ùnde stòò {2.Hand: rot 'sch' über 's' notiert} , di bööse gäns bii̇̇sse {zunächst 'bisse'} di z' tood. 
WS15	du hèsch hǜt am mäischte gleert um-bi̇̀sch {'um' hier wieder mit dem Kringel über 'u', der nicht transkribiert wird} aartig gsii, deͦ daarfsch frǜener häi gòò as di andère
WS16	du bi̇̀sch nò-ni̇̀g grooss {zunächst 'gross'} gnuèg {'u' mit Kringel} fǜr è fläsche wii uusztri̇̀nke {beide 'u' mit Kringel}, dè {zunächst 'du', dann 'u' durchgestrichen und 'è' darüber notiert} mùesch {'u' nur mit Gravis} zeerscht nò-chli wachse ùng‿grösser {'u' mit Kringel und Gravis}{Der Lehrer notiert noch einen Bindestrich über dem Verbindungsbogen} wärde 
WS17	gang bi̇̀s sò gùet ùnd {beide 'u' nur mit Gravis} säg deͦr schwö̀schter, si häig sèle <(g')> kläider für ö̀iji mŭ̀eter {'u' mit Böglein und Gravis} fèrtig näije ùm-mi̇̀t {'u' mit Kringel und Gravis}  deͦr bǜrschte bŭ̀tze {'u' mit Böglein und Gravis}.
WS18	"wän-d-èn kännt hèttisch, sò wèr's {zunächst ""wär's"", dann 'ä' durchgestrichcn und 'e' darüber notiert} andèrscht ŭ̄se {'u' mit Böglein und Querstrich} choo ùnd {'u' mit Kringel und Querstrich} s' schtiènd {zunächst 'ùnd stiènd': "" s' "" ist nachträglich eingefügt; ferner 2.Hand: 's' von 'stiènd' rot unterstrichen  und am Zeileende rot 'sch' notiert}  bèsser ùm-èn {'u' mit Kringel und Gravis}. "
WS19	wèr hètt meͦr dè chòòrb mi̇̀t-èm fläisch gschtòle ?
WS20	eͦr hèt tòò wi̇̀ wänn-s-èn bschtèllt hètte zùm {'u' mit Kringel und Gravis} trö̀sche, si hènd 's abeͦr sälber gmacht.
WS21	wèm hèt eͦr di nö̀i gschi̇̀cht verzèlt ?
WS22	mè mūè {'u' nur mit Querstrich} lūt {'u' nur mit Querstrich} brǜèle, sùscht {'u' mit Kringel und Gravis} verstòòt-eͦr {2.Hand: 's' rot unterstrichen und am Satzende rot 'sch' notiert(gehört zu 'verstòòt)'}  {zunächst 'meͦr', dann vom Lehrer 'm' durchgestrichen (gehört zu 'eͦr') } is i̇̀t.
WS23	mèr si̇̀m‿müèd {Der Lehrer notiert noch einen Bindestrich über dem Verbindungsbogen} ùn‿hèn‿tŭ̀ŭ̀rscht {'un': 'u' mit Kringel und Gravis} {'tuurscht': beie 'u' mit Böglein und Gravis}.
WS24	wò meͦr gèschter zrù<(g)>-choo si̇̀nd, dò si̇̀nd di andère schò im bè<(t)> g'läge un-hèm-<(b)>-fèscht {zunächst 'um' (mit Kringel) und 'hèn', dann korrigiert in 'un' und 'hèm'} gschlòòfe.
WS25	dè schnee i̇̀sch {angefangenes Wort ist durchgestrichen} hǜt z'nacht bi̇̀ ö̀is li̇̀gge bli̇̀be, aber hǜt am-mòrge i̇̀sch-er gschmōlze.
WS26	hi̇̀nder ö̀isem huus schtö̀nd {zunächst 'stö̀nd', dann oben 'ch' zwischen 's' und 't' eingefügt} {angefangenes Wort ist durchgestrichen} drèi schööni ö̀pfelbö̀im mit rote-n-ö̀pfèli draa.
WS27	chö̀nnte-der i̇̀t nò èn aͣ̈ugèbli̇̀ckli ùf ö̀is {zunächst 'ö̀uis', dann 'u' durchgestrichen} waarte <(d)>nò gö̀meͦr mi̇̀t-ènand.
WS28	i̇̀r dö̀fet i̇̀t dèrigi chi̇̀ndèrèie triibe.
WS29	ö̀isi bäärge si̇̀nd i̇̀t èsò hööch, ö̀iji si̇̀nd hööcher.
WS30	wie mängg pfùnd {'u' mit Kringel und Gravis} wŭ̀rscht {'u' mit Böglein und Gravis} ùnd {'u' mit Kringel und Gravis} wi̇̀vi̇̀l broot wèndeͦr ?
WS31	i {zunächst 'i̇̀' , dann Gravis (mit Bleistift?) durchgestrichen} verstand {Lehrer oder 2.Hand (?):  'ch' oben zwischen 's' und 't' eingefügt} i i̇̀t i̇̀r mǜènd è chli lŭ̄ter {'u' mit Böglein und Querstrich} rède.
WS32	hènd eͦr è käi schtǜckli säipfe {am 2. Buchstaben rumkorrigiert} fǜr mi̇̀ ŭ̀f {'u' mit Böglein und Gravis} èm ti̇̀sch gfŭ̀nde {'u' mit Böglein und Gravis}?
WS33	sin brǜèder wi̇̀ll zwö̀i schööni nö̀iji hüüser i̇̀ ö̀ijèm gaarte bòùe.
WS34	s' wòrt i̇̀sch èm vōm häärz choo.
WS35	da‿i̇̀sch {Der Lehrer notiert noch einen Bindestrich über dem Verbindungsbogen} rächt gsii vònène.
WS36	wafǜr vö̀gèli hòcke-dò ùf-èm müürli òbe ?
WS37	<(d')> buure {beide 'u' mit Kringel} hènd fö̀if stière {2.Hand oder Lehrer ?: 'ch'  oben zwischen 's' und 't' eingefügt} ùn-nüün {'u' mit Kringel und Gravis} chüè und {'u' mit Kringel} zwö̀lf schö̀fli vòrs doorf ùse {'u' nur mit Gravis}  bròcht; diè hènd si wèle verchaͣ̈ufe {'u' mit Kringel}.
WS38	all lǖt si̇̀nd hǜt ùf {'u' mit Kringel und Gravis} èm fäld ùn-tǜènd {'u' mit Kringel und Gravis}mäije.
WS39	gang nŭ̀me {'u' mit Böglein und Gravis}, deͦ bruun {beide 'u' mit Kringel} hŭ̀nd {'u' mit Böglein und Gravis} macht-<(d)>eͦr nüt.
WS40	{angefangenes Wort ist durchgestrichen} i bi̇̀ mi̇̀<(t)>-de lǖte dò hi̇̀nde ǜber - d - matte i̇̀s chòrn gfaare.
