---
Bogennummer: '29211'
Ort: Fulerum
Gid: 103585
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Marc Real (real@bergischplatt.de)
Anmerkungen: 'Dieser Bogen stammt aus der Erhebung der 42 „rheinischen Sätze“ von
  1877 und besteht nicht aus den klassischen 40 Wenkersätzen, wie sie ab 1879 für
  die Erhebungen verwendet wurden.

  Der Bogen ist nicht in deutscher Kurrentschrift, sondern in lateinischer Schreibschrift
  verfasst.'
Original Anmerkungen: '41. Du do, bliëw es stohn, wu büs du vann Dāg wirr herümm gelōpen?
  wat hes du gedān? {Du da, bleib einmal stehen, wo bist du heute wieder herumgelaufen?
  Was hast du getan?}

  42. Ssinn Frau hät ßich gestault, äs wenn ßüh ümen nië keint, ßüh hät en äwer doch
  gekaunt, un he üar ouk. {Seine Frau hat sich gestellt, als wenn sie ihn nicht kannte,
  sie hat ihm aber doch gekannt und er sie auch.}'
Erstelldatum: 2022-07-30 18:28:19.787214
Änderungsdatum: 2022-07-30 18:28:19.787214
...
WS1	Du de en Dok öm de Kopp benden. {Tu dir ein Tuch um den Kopf binden.}
WS15	Min liëw Keeïnd, du muz noch iar en bitschen waassen und grödder wäden un lopen liaren. {Mein liebes Kind, du musst noch eher ein bisschen wachsen und größer werden und laufen lernen.}
WS16	Iiëk schlon dëei glick mit dem Pottlepel üem die Oahren, wenn du nië boll geeïss, du Apen. {Ich schlage dir gleich mit dem Kochlöffel um die Ohren, wenn du nicht bald gehst, du Affe.}
WS17	Usen äulsten Bruer sall bi inken Meeïster in die Liahr gohn. {Unser ältester Bruder soll bei eurem Meister in die Lehre gehen.}
WS18	Iëk häf ewen wan üar gehoart, ät wöaren öwer twälf Hüser un än Schür afgebrannt. {Ich habe eben von ihr gehört, es wären über zwölf Häuser und eine Scheune abgebrannt.}
WS19	He mak vann Dag en frammig Gessig. {Er macht heute ein wütendes Gesicht.}
WS20	Aet sind schlechte Tiën. {Es sind schlechte Zeiten.}
WS21	Süë hadde sich de Köpper blutig geschlagen. {Sie hatten sich die Köpfe blutig geschlagen.}
WS22	Den ewige Regen sall die Aeppel wahl dürr māken. {Der ewige Regen soll die Äpfel wohl teuer machen.}
WS23	Mi Moder hat aul Klëër van min Dochter herut gelag. {Meine Mutter hatte alte Kleider von meiner Tochter herausgelegt.}
WS24	Iëk hätt gän en half Punt Wohs. {Ich hätte gerne ein halbes Pfund Wurst.}
WS25	Wat sind dat van nette Aapen. {Was sind das für schöne Affen.}
WS26	Wille git liëwer äm Gläsken roa Win̄ drinken ov ein Gläsken witten. {Wollt ihr lieber ein Gläschen roten Wein trinken oder ein Gläschen weißen.}
WS27	Den Deuwel het Pattsbeeïnen. {Der Teufel hat Pferdefüße.}
WS28	De Rhin üs ganz hoach gewäs. {Der Rhein ist sehr hoch gewesen.}
WS29	Hes du dat gewiëten? {Hättest du das gewusst?}
WS30	Denn darf me ni truen, die het ät achter de Oahren ßitten. {Der darf man nicht trauen, die hat es hinter den Ohren sitzen.}
WS31	Gont Kiäner, git ssöllen usen Knech ssäggen, he ßöël us denn gruaten Buk tägen den Owen läggen. {Geht Kinder, ihr sollt unserem Knecht sagen, er sollte uns das große Buch neben den Ofen legen.}
WS32	Ick sinn arm un wüar gän rik. {Ich bin arm und wäre gern reich.}
WS33	Ssi ßo gutt un bring mi en Fläschen Water herop. {Sei so gut und bring mir ein Fläschchen Wasser herauf.}
WS34	Wie häwen ät üm vertault. {Wir haben es ihm erzählt.}
WS35	Sso wat deeït düchtig wiah, dat könne gitt mi märr glöwen. {So etwas tut sehr weh, das könnt ihr mir wohl glauben.}
WS36	He sag för üar, he hätt dat Ge͡ild ßelwer nüadig. {Er sagte ihr, er hätte das Geld selber nötig.}
WS37	Ick will et gar nië miar dun. {Ich will es gar nicht mehr wieder tun.}
WS38	Ät kümp mi vann Hatten. {Es kommt mir von Herzen.}
WS39	Wie häwen Doss gehatt äs än Pǟt. {Wir haben Durst gehabt wie ein Pferd.}
WS40	Dinn Süster ßach för üm, ät ßüaten ßäs Tüwkes op denn Müëken. {Deine Schwester sagte zu ihm, es säßen sechs Täubchen auf dem Mäuerchen.}
