---
Bogennummer: '46082'
Ort: Saas
Gid: 17946
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Ich war mir oft unsicher, ob die Endung ''n'' ist oder ''u'' - so insbesondere
  bei den Wenker-Sätzen 8 "glaube, durchgelaufen", 9 "sagen", 24 "geschlafen", 25
  "zergangen", 27 "warten", 28 "treiben", 32 "gefunden", 37 "verkaufen", 40 "gefahren".}'
Erstelldatum: 2024-04-15 16:40:22.964890
Änderungsdatum: 2024-04-16 16:34:41.654339
Satzversion: 1
...
WS1	Jm Winter fleugend di trochnen Plätter in dr Luft ummer.
WS18	Hättischtn du {'Hättischtn' und 'du' sind extrem nahe nebeneinander geschrieben} gkennt {auf neuer Zeile:} weers anderscht chon und <(ä)>s stüendi bessr um nen.
WS19	Wär hed mer min Chorb mittem Fleisch gstolln ?
WS20	Är {zunächst 'Er', dann 'Ä' über 'E' geschrieben} hed äso gätahn, äsob schen zum Tröschen gädinget hättnd; schi händs aber sälb[er] {unklar, ob zunächst 'sälber' und dann in 'sälba' korrigiert} gätahn
WS21	Wämm hedr {zunächst 'heder', dann 2.'e' durchgestrichen} di-e {was bedeutet dieses Strichlein zwischen 'i' und 'e' ?} nüü Gschicht ärzellt ?
WS22	Mä mues lut Schrei lahn, sus vrsteidr eis nid.
WS23	Mịẹr sim-müed und händ Durscht
WS24	Wịẹ mr nächti zrugg cho sind, sind di andern {zunächst 'andera', dann 'a' am Ende mit 'n' überschrieben} schon inds Bett gsin und händ fescht gschlafn {hier bin ich unsicher, ob die Endung 'n' ist oder 'u'}.
WS25	Bin ünsch heds di letscht Nacht dä Schnee gleid, abr hüt am Morget isch[d]r {unsicher ob 'd' oder 't' ?} zrgängn {hier bin ich unsicher, ob die Endung 'n' ist oder 'u'}.
WS26	Hinder ünschm Huus stahnd dry hübschi Öpflbömmjeni {'hübschi' ist oben zwisch 'dry' und 'Öpfl' eingefügt; Verdoppelungsstrich auf 'm'} mid roten Öpfeleni 
WS27	Chönndr nid noch äs Wieli uf nisch wartn {hier bin ich unsicher, ob die Endung 'n' ist oder 'u'}, denn gahmịẹr mid ni.
WS28	Ier törft nid derä Buobärieä triebn {hier bin ich unsicher, ob die Endung 'n' ist oder 'u'}.
WS29	Ünsch Bärgä sind nid grad unheimli höch, eu sind viel höher.
WS30	̇Wịẹviel Pfund Wurscht und wịẹviel {unter den Punkten stehen noch kleine Dreiecke: Markierung, dass die Punkte unter die Vokale darüber gehören} Brod welld ịẹr hahn ? {Satz steht in Zeile mit Nummer 31;  die Zeilennummer ist auf '30' korrigiert.}
WS31	I verstahn eu nid, ịẹr  müesst as bitzji luuter re̮d[en].  {unter 'e' steht ein spitzes oben offenes Dreieck, kein Böglein; Wortendung unklar} {Satz steht in Zeile mit Nummer 30;  die Zeilennummer ist auf '31' korrigiert.}
WS32	Heid ier keis Stückli wiessi Seufä für mi uf mim Tisch gfundn {hier bin ich unsicher, ob die Endung 'n' ist oder 'u'}?
WS33	Schin Bruoder will für schissälb zwei hübschi Hüscher in euäm Gartem buen.
WS34	Ds {zunächst 'Das', dann 'a' durchgestrichen} Woort ischt mä van Härz[a] {unklar, ob zunächst 'Härzn' und 'n' in 'a' korrigiert oder umgekehrt} chon
WS35	Das ist rächt gsi vanen.
WS36	Was für Vögäläni sitzendtaobnä uf däm Müürli.
WS37	Di Puurà händ füf {zunächst 'füüf', dann 2.'ü' durchgestrichen} Oxä und nün Chüä zwölf Schafjäni vorts Dorf g'fergget ghan, die heindsch well[à]n {am 5.Buchstaben rumkorrigiert; darüber steht ein seltsamer Akzent} vrchauffn {hier bin ich unsicher, ob die Endung 'n' ist oder 'u'}.
WS38	D' Lüüt sind hüt alli dussnä ufm Fäld und mehjend {zunächst 'meejend, dann 2.'e' mit 'h' überschrieben}
WS39	Gang nuhn, dr bruhn Hund tuatdr {zunächst 'tuatr', dann zu 'tuatdr' ergänzt} nühd.
WS40	Ji bin mittä {wohl zunächst 'mitdä', dann 'd' mit 't' überschrieben} Lüütn da {'Lüütn' oben zwischen 'mittä' und 'da' mit Einfügungszeichen eingefügt} ännet übr d' Wies inds Chohrn gfahrn {hier bin ich unsicher, ob die Endung 'n' ist oder 'u'}.
