---
Bogennummer: '44907'
Ort: Fislisbach
Gid: 16152
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Der getippte Text ist voll von manuellen Korrekturen in (mindestens?)
  zwei verschiedenen Handschriften, die nicht immer eindeutig zu interpretieren sind.
  Zum Beispiel das erste Wort in Satz 30: gilt Querstrich oder Gravis oder ist der
  Querstrich durchgestrichen?}'
Erstelldatum: 2024-05-20 15:39:52.668648
Änderungsdatum: 2024-05-22 18:30:54.467535
Satzversion: 1
...
WS1	Ìm wi̇̀nter flüüge {zunächst 'flüge'} di trochchne {zunächst 'trochne'} blètter ume̊nand.
WS17	Gang, bi̇̀s so guèt, sääg diner schwö̀schter {zunächst 'schwö̀ster'}, si sètti d' chleider fǜr  euri {zunächst 'eure'} muèter ferttig {zunächst 'fertig'} nèije {zunächt 'nèie'} ùnd mi̇̀t dr böörschte {zunächst 'böörste'} suuber {zunächst 'rein'} mache.
WS18	Hèttisch {zunächst 'Hättisch'} du e̊n kännt !  dänn wärs anders choo, ùnd e̊s tèti {zunächst 'täti'} bèsser umēn {zunächst 'umén'} stò.
WS19	Wer hèd mèr {zunächst 'ht mèr', dann 'hèd'} mi̇̄n choorb mi̇̀t fläisch {zunächst 'fleisch'} gschtòle {zunächst 'gstòle'} ? 
WS20	Èr hèt e̊so tòò, as hèttet {zunächst 'hätet'} si e̊n zùm Trö̀schsche {zunächst 'Drö̀sche'} bschtèllt {zunächst 'bstèllt'} ; si händs aber sälber {zunächst 'selber'} gmacht.
WS21	Wèm hätter {zunächst 'häter'} di nö̀i {zunächst 'neui'} gschēcht {unklar, ob 'ē' oder 'é'} verzèllt {zunächst 'verzält'} ?
WS22	{1.Wort korrigiert und durchgestrichen} Me̊ mue̊ss luut schrèije {zunächst 'schrèie'}, soscht {zunächst 'sōst'} verstòò-t {zunächst 'verstòò-d'} er öis {zunächst 'eus'} nöd {zunächst 'nȫd'}.
WS23	Me̊r send {zunächst 'sēnd'} müe̊d ùnd händ dōōrscht.
WS24	Wommer {zunächst 'Womer'} gèschte̊r {zunächst 'gèter'} zòòbig zrogg {zunächst 'rrōgg'} choo send {zunächst 'sind', dann 'sēnd'}, dò send {zunächst 'sēnd'} di ande̊re̊ scho i̇̀m bètt glääge. und {'händ' ist mit '=' übertippt} send {zunächst 'sēnd'} fèst e̊m schlòf gsii.
WS25	Dr schnee i̇̀sch die̊ nacht bi öis {zunächst 'eus'} li̇̀gge plebe {zunächst 'plēbe'}, abe̊r hött {zunächst 'hȫt'} am mòrge̊ ische̊r {'gschule.' mit '=' übertippt} gschmùlze.
WS26	Hender {Klecks über 'e'} öisem {zunächst 'eusem'} Huus schtönd drèi {zunächst 'stönddrèi'} schȫȫní {zunächst 'schȫni'} Öpfelböimli mit {zunächst 'Öpfelbäumlimit'} schööne {zunächst 'schöne'} ö̀pfle̊ne̊.
WS27	Chönne̊d-èr {zunächst 'Chönèd-irr'} nüüd {zunächst 'nüd'} nò e̊s {zunächst 'és'} augeblickli ùf öis {zunächst 'eus'} warte, dänn gö̀mmer mi̇̀t öi {zunächst 'eu'}.
WS28	Iir dö̀rfe̊d nǜd sèttigi chi̇̀nderèije {'j' manuell eingefügt} triibe̊.
WS29	Öisi {zunächst 'Eusi̇̀'} bèrg si̇̀nd nìt gar hoch, ö̀iji {zunächst 'euji'} sind vi̇̀ll hȫcher {zunächst 'hö́cher'}.
WS30	Wēvi̇̀ll {zunächst 'Wévi̇̀ll'} pfùnd wùrscht {zunächst 'wùrst'} ùnd wēvi̇̀ll brō[d] {zunächst wohl 'brōt'} wänd-i̇̀i̇̀r haa ?
WS31	I verstòòne-n-öi {zunächst 'eu'} nööd {zunächst 'nöd'}, i̇̀i̇̀r müe̊nd e̊chli lüüter {'spräche' ist durchgestrichen} rède̊ {zunächst als alternativer Ausdruck eingeklammert, dann Klammern gelöscht}.
WS32	Händ-iir käi {zunächst 'kei'} stǜckli wiissi söipfe {zuächst 'sèupfè'} ùff mim ti̇̀sch gfùnde ?
WS33	Sin {zunächst 'Siin'} brüe̊der wi̇̀ll s[i] {unklarer Akzent} zwöi {zunächst 'zweu'} schöni hüüser in öirem {zunächst 'ineurem'} gaarte bòue. 
WS34	Da woort {zunächst 'wōōrt'} ische̊m vo hèrze choo {zunächst 'chōō'}.
WS35	Das i̇̀sch rächt {zunächst 'nüd'} vone̊ne̊ gsii. {Satz in Zeile mit Nummer 36; ist aber als Nummer 35 markiert.}
WS36	Wa setze {zunächst wohl 'sēte', dann korrigiert} dò fǜr vö̀geli uff dèm müürli ? {Satz steht hinter der vorgedruckten Nummer 35, '5' ist manuell mit '6' überschrieben} 
WS37	D' būūre händ föif {zunächst 'feuf'} stière ùnd nüün chüè̊ ùnd zwö̀lf schö̀ö̀fli vòrs dōōrf {zunächst 'dōrf'} bròcht, die̊ händ si wèlle ve̊rchauffe {znächst 'vrchaufe'}.
WS38	D' lüüt send {zunächst 'sēnd'} hǜtt alli {zunächst 'alle'} ve̊rùsse {zunächst 'vrùsse'} uff e̊m fèld ùnd mèijèd.
WS39	Gang nù, d[e̊] {zunächst 'dè' ?} bruun hùnd tuè tr {zunächst 'dr'} nüüd.
WS40	"I bi̇̀ mit dè lüüte dò hinde̊ über {"" d' wes̀ê-n "" mit '=' übertippt} d' wese̊ {zunächst 'wēse̊'}  i̇̀s chornn gfaare̊ {zunächst 'gfahre̊'}. "
