---
Bogennummer: '44581'
Ort: Rümikon
Gid: 20380
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-07-28 15:19:31.657303
Änderungsdatum: 2023-08-14 13:53:13.655061
Satzversion: 1
...
WS1	Iͤm  Wiͤnter flüüget de tuͦ̈re Plätter e dä Luͦft ůmeͣ̈nand.
WS20	Eͣ̈r hätt deͣ̈ gliicheͣ̈ toͣ, wiͤeͣ̈ wänmeͣ̈reͣ zom Tröscheͣ̈ aagschteͣ̈llt heͣ̈tt, se hänts abeͣ̈r sälbeͣ̈r gmacht.
WS21	Weͣ̈m hätteͣ̈r de nö[i] {über 'i' stand zunächdt etwas, das durchgestrichen wurde} Gschecht veͣ̈rzeͣ̈llt ?
WS22	Meͣ̈ muä brüeͣ̈leͣ̈ wieͣ̈neͣ̈n Stieͣ̈r sůsch veͣ̈rstoͣ̈teräim nöd.
WS23	Meͣ̈r send müeͣ̈d ond händ Tůrscht
WS24	Geͣ̈schteͣ̈r Zobeg wo meͣ̈r häi choo send, send de andeͣ̈reͣ̈ scho im Beͣ̈tt <(Näscht)> gsii ond händ gschloͣfe {zunächst 'gschloͣ̈fe', dann 'ä' korrigiert zu 'a'} wieͣ̈ Tschtöck.
WS25	Höt Znacht hätt deͣ̈ Schnee noͣ gheͣ̈bt, abeͣ̈r hötte-moͣrgeͣ̈ esch eͣ̈r veͣ̈rgangeͣ̈
WS26	H[e]ndeͣ̈r {zunächst wohl 'Hindeͣ̈r', dann 'i' mit 'e' überschrieben} öiseͣ̈m Huus stönd drüü chliine Öpfelböimliͤ {zunächst '...bäumliͤ', dann 'äu' mit 'öi' überschrieben} , met rooteͣ̈-n-Öpfeͣ̈le.
WS27	Chönneͣ̈deͣ̈r nöd no eͣ̈n {zunächst 'eͣ̈m', dann 'm' zu 'n' verkürzt} Augeͣ̈bleck {zunächst 'Augeͣ̈blick', dann 'i' mit 'e' überschrieben} ůf es warteͣ̈, dänn chömeͣ̈tmeͣ̈r met öi {zunächst 'öiͤ', dann 'e' durchgestrichen}.  
WS28	Eͣ̈r torfeͣ̈t nöd so tůmm tueͣ̈, wieͣ̈ chliine Chend.
WS29	Öise Bärg send nod {zwischen 'n' und 'o' ist oben ein kleines dünnes Strichlein, fast wie ein apostroph: Bedeutung?} so chooch, öie send vell hööcheͣ̈r.
WS30	Wieͣ̈ mänggi Pfond Wuͦrscht ond Broot mueͣsch {auf 'a' ist kein Trema, höchstens ein kleines Strichlein}  haa ?
WS31	E veͣ̈rschtoͣ öi nöd, eͣ̈r müeͣ̈nd eͣ̈ chle lütteͣ̈r reͣ̈deͣ̈.
WS32	Hand eͣ̈r nöd eͣ̈ {zunächst 'eͣ̈s', dann 's' durchgestrichen} Schtöckle wiisse Söipfe voͣ meͣ̈r of miim Tesch gfondeͣ̈ ?
WS33	Siin Brüeͣ̈deͣ̈r well zwäi schööne nöie Hüüseͣ̈r e öie Gaarte-n-ieͣ̈ baͦue.
WS34	Da woͣneͣ̈r gsäit hätt esch eͣ̈m voͣ Härzeͣ̈ choo.
WS35	Da esch rächt vön öi.
WS36	Wa {'hoͣckeͣ̈t a för' ist durchgestrichen} send a da för Vö[ge]l {zwischen 'g' und 'e' ist oben etwas eingefügt: ist es entweder ein angefangenes 2.'g' über 'g'  oder (wegen der Unterlänge von 'z' in der oberen Zeile) ein nach links verschobenes 'ä' über 'e' mit unklarem Trema?}  woo of eͣ̈m Müürl[e] {unklar, ob 'Müürle' oder 'Müürli'} oͣb[eͣ] {die eckige Klammer betrifft das hochgesetzte kleine 'a' mit einem kleinen Strichlein links über 'a', fast wie ein halbes Trema } hoͣckeͣ̈t ?
WS37	Puureͣ̈ händ feuf Schtieͣ̈reͣ̈, nüün Chüeͣ̈ ond zwölf Schöflé voͣrs Toͣrf useͣ̈ to, ond häntse weͣ̈lleͣ̈ veͣ̈rchaufeͣ̈.
WS38	Hött send alle Lüüt of eͣ̈m Fäld ond tüeͣ̈nd mäieͣ̈.
WS39	Gang nor, deͣ̈ bruun machteͣ̈r nüüd {sic! 'Hund' fehlt}
WS40	E be metteͣ̈ Lüüteͣ̈ öber d' Wes ieͣ̈ {zunächst 'iͤeͣ̈', dann 'e' über 'i' durchgestrichen} e Ggaarbeͣ̈ gfaareͣ̈.
