---
Bogennummer: '44709'
Ort: Olsberg
Gid: 16300
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Über den 40 Wenker-Sätzen notiert der Lehrer: "x  k  wird gesprochen
  wie in Bäcker (hinterer Gaumen!)

  Ein t (th) gibt es in unserer Mundart nicht. An seiner Stelle steht ein starkes
  d, etwa wie in Widder" -

  Dabei findet sich ''x'' in Satz 6 vor ''Kuèche''; in Satz 17 vor ''Kläider''; in
  Satz 18 vor ''kènnd'' und in Satz 32 vor ''ck'' in ''Schddööckli''.

  Offenbar ist die Schreibweise mit ''dd'' dem Lehrer erst beim Schreiben des 1.Satzes
  eingefallen: bei ''im 1.Satz ist das 2.''d'' oben eingefügt und später oft am Wortanfang
  oder -ende angefügt worden. Dadurch sind Wortabstände sehr klein geworden.}'
Erstelldatum: 2024-10-23 14:36:31.812047
Änderungsdatum: 2024-10-25 19:00:04.613179
Satzversion: 1
...
WS1	Im Wēndder {2.'d' ist nachträglich oben engefügt} fliège di ddrochne Blèdder i dr Lōfdd ōme.
WS12	Wō gòòschdd hēē ?  Sèle mèr mèdd-er gòò ?
WS13	Es sēnd schlächddi Ziidde.
WS14	Liäbs Chēnd, bliib dò ōnde schdòò, di bȫȫse Gäns biiße di z' ddōōd.
WS15	Duu heschdd hȫdd am mäischddw gglēērdd ōnd bēschdd aarddig ggsii; du ddarfschdd früèner häi gòò as di andere.
WS16	Du bēsch nòni grōōß ggnuè fȫr è Fläschè Wii uus zddrēnke, du muèschdd z' ēērschdd nò-è-chli wachsè ōnd grȫȫßer wäärde.
WS17	"Gang bēß-so guèdd ōnd sääg diièr Schwöschdder, si sèdd *Kläider {zunächst ""d' Chläider"", dann ""d' Ch"" durchgestrichen und darüber ein hochgestelltes 'x' anstelle von '*' und 'K' und damit verweist auf die Bemerkung oben auf dem Blatt} fȫr öiji Muèdder fèrtig näie ōnd mēt dèr Bȫȫrschdde suuber mache."
WS18	Häddisch-è  *kènndd {auf dem Wenker-Bogen steht ein hochgestelltes 'x' anstelle von '*' und verweist auf die Bemerkung oben auf dem Blatt}!  denn wèèrs andèrschdd chōō, ōnd es schddiènd besser ōm-èn. 
WS19	Wer hèdd mer mi Chōōrb mēdd em Fläisch g gschddòòle ?
WS20	Er hadd ddòò, wē wènn's èm zōmm Ddrö̀sche bbschddèlldd hädde; si händs aber sälber ddòò.
WS21	J wèmm hèdd er di {angefangenes Wort durchgestrichen} nö̀i Gschēchdd v<(e)>rzèlldd ?
WS22	Mer muès luudd schrèie <(brüèle)>, sōschdd verschddòòdd er is {etwas ist durchgestrichen} nēdd <ēdd)>.
WS23	Mer sēnd müèd ōnd händ Ddōōrschdd.
WS24	Wō-mèr gèschdder z' Òòbe zrōgg chōō si, si di andere schō im Bèdd gglääge ond sēnd fèschdd am Schlòòfe ggsii.
WS25	Dè Schnēē isch diè Nachdd bi ö̀is lēgge bblēbe, aber hödd Mòrge ēschdd er vergange.
WS26	Hēnder ö̀isem Huus schdö̀ö̀nd {2. 'ö̀' ist nachträglich oben eingefügt} drüü schȫȫni Öpfelbö̀imli mēdd rōōdde-n-Ö̀pfeli.
WS27	Chö̀ned-er-nēd nò es Augeblēckli ōf-is waardde, denn gö̀ö̀mmer medd-èch {zuerst etwas notiert und durchgestrichen; darunter die gültige Version notiert}. 
WS28	Er ddö̀rfed nēdd sèddigi Chēnderèie {etwas ist durchgestrichen} ddriibe.
WS29	Ö̀isi Bäärge {2.'ä' ist nachträglich obene eingefügt} sēnd nidd bsōnders <(äxddra)>  hȫöch, öiji send vēll hȫȫcher.
WS30	Wē vēll Pfōnd Wōōrschdd ōnd wē vēll Brōōdd wäidd-er haa ?
WS31	J verschdònèch nēdd, d<(e)>r müèend èchli lüüdder rèède.
WS32	Häidd-er käis {etwas zwischen 'i' iund 's' durchgestrichen} Schddȫ*ckli {auf dem Wenker-Bogen steht ein hochgestelltes 'x' anstelle von '*' und verweist auf die Bemerkung oben auf dem Blatt} wiißi Säifi fȫr mēē ōf mim Ddēsch{zunächst 'Tēsch', dann durchgestrichen und 'Ddēsch' darüber notiert} ggfōnde ? 
WS33	Si Brüeder wēll zwö̀i schȫni nö̀iji Hüüser i-n-ö̀iem Gaardde {zunächst nur ein 'a', dann 2.'a' oben eingefügt} bòue.
WS34	Das Wōōrdd ēsch-em vō Häärze chōō.
WS35	Das ēsch rächdd ggsii vō-n-ene
WS36	Was hòcke dòò fȫr Vö̀ö̀grli ōff em Müürli òòbe ?
WS37	D' Bbuure händ fȫmf Scgddière ōnd nüün Chüè ōnd zwölf Schö̀ö̀fli vòrs {Wort durchgestrichen} Dōōrf  bbròòchdd, diè häisi wèlle verchaͣ̈uffe.
WS38	Dd' Lüüdd sēnd hȫdd alli ōf-em Fäld ōsse ōnd mäiè.
WS39	Gang {angefangenes Wort ist durchgestrichen} n̄me, de bruun Hōnd machd-der nüüdd.
WS40	J bē mēdd de Lüüdde do hēnde ȫber d' Madde is Chòrn ggfaare.
