---
Bogennummer: '44893'
Ort: Baden
Gid: 18295
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Mir scheint, jemand anders habe diesen Bogen durchgelesen und systematisch
  ''st'' in ''scht'' korrigiert und ''sch'' verdoppelt; ferner ''eu'' in ''öi'' geändert.}'
Erstelldatum: 2024-04-28 18:35:12.540147
Änderungsdatum: 2024-04-29 13:06:41.088973
Satzversion: 1
...
WS1	Ìm wi̇̀nter flüüged die trochchne {zunächst 'trochne'} blètter i̇̀ de̊r lùft ùme.
WS17	Gang, bi̇̀s so guet ùnd sääg diiner schwöschter {zunächst 'schwöster'}, si sèl d chläider fǜr öiri {zunächst wohl 'euri'} mueter {zunächst 'muetter'} fertig nèij̀e {zunächst 'nèj' dann korrigiert} ùnd mi̇̀t de̊r bǜerschte {zunächst 'bǜerste'} sūūber mache.
WS18	Hettisch èn {zunächst 'e̊n'} g'chännt ! dänn wèr {zunächst 'wär'} e̊s anderscht {zunächst 'anderst'} {'chòò' ist überschrieben} chōō, ùnd e̊s tèt besser ùm e̊n schtòò {zunächst 'stòò'}.
WS19	Wer hät me̊r mi̇̄n choorb m[i]t {oder 'met' ?} fläisch gstòle ? 
WS20	E̊r hät sō tòò, as hèttet 's e̊n zùm drö̀schsche {zunächst 'drö̀sche'} b'stellt; si händ 's aber sälber tòò.
WS21	Wem hät e̊r die nöi {zunächst 'neu'} Gschi̇̀cht verzellt ?
WS22	Me̊ muess lūūt schrèije, sùscht {zunächst 'sùst'} verstòòd e̊r i̇̀s ni̇̀d.
WS23	Me̊r si̇̀nd müed ùnd händ dū̀rscht {zunächst dū̀rst'}.
WS24	Wo me̊r gèschter {zunächst 'gèster'} z 'òbig zrùgg chōō si̇̀nd, dò si̇̀nd die andere {'scho' ist durchgestrichen; darüber steht:} nò i̇̀m bètt glääge ùnd si̇̀nd fescht {zunächst 'fest'} am schlòòffe {zunächst 'schlòòfe'} gsii.
WS25	De̊ Schnee ìscht {zunächst 'ìst'} dìe nacht bi öis {zunächst 'eus'} li̇̀gge bli̇̀be, aber hǜt am mòrge {'ìst' ist durchgestrichen; darunter steht: } ìsch e̊r gschm̀ùlze {sic!}.
WS26	Hi̇̀nder öisem {zunächst 'eusem'} huus schtönd {zunächst 'stönd'} drüü schöni Öpfelböimli {zunächst 'Öpfelbäumli'} mi̇̀t rote Öpfeli.
WS27	Chönnet e̊r nìd no e̊s Augebli̇̀ckli uf i̇̀s wārte {zunächst 'Augebli̇̀ckli wārte', dann oben im Wortzwischenraum 'uf i̇̀s' eingefügt}, dänn gönd me̊r mìt=i{das Gleichheitszeichen steht unten auf der Schreiblinie}.
WS28	E̊r dö̀rfet ni̇̄d dère̊ chi̇̀nderèije triibe.
WS29	Öisi {zunächst 'Eusi'} bèrg si̇̀nd ni̇̀d gaar hööch, {'eui' ist durchgestrichen, darüber steht:} ö̀ii  si̇̀nd vi̇̀l hō̈ȫcher {zunächst 'hō̈cher', dann 'ö' ergänzt und ganz dünn (mit Bleistift) Querstrich über 'ö'}.
WS30	Wi {zunächst 'Wie'} vi̇̀l {zunächst 'vi̇̀ll'} Pfùnd wùrscht {zunächst wùrst'} ùnd wi̊vi̇̀l brōōd wänd e̊r haa ?
WS31	I verstòòn=i {zunächst 'verstòòni', dann Gleichheitszeichen nachträglich unter der Zeile zwischen 'n' und 'i' eingefügt} ni̇̀d, e̊r müend e̊chli lüüter {zunächst 'lüter'} rède !
WS32	Händ e̊r käi Schtǜckli {zunächst 'Stǜckli'} wììssi sö̀ipfe {zunächst 'seupfe'} fǜr mi ùf mī̀m ti̇̀sch g'fùnde ?
WS33	Siin brüeder wi̇̀ll si zwöi {zunächst 'zweu'} schöni nöii {zunächst 'neui'} hüüser i̇̀n öie̊m {zunächst 'eue̊m'} garte boue. 
WS34	Da wōōrt i̇̀sch e̊m vō hèrze chōō !
WS35	Das ìsch rächt gsii von-ene.
WS36	Was si̇̀tzet dò fǜr vö̀geli òbe uf dèm müürli ?
WS37	D' buure händ fö̀if {zunächst 'feuf'} Òchse ùnd nṻǖn {zunächst 'nṻn'} chüe ùnd zwö̀lf Schö̀ö̀fli vòrs dōōrf bròòcht, die händ si wèlle ve̊rchauffe.
WS38	D' lüüt {zunächst 'lüt'} si̇̀nd hǜt alli dùsse ūf e̊m fäld ùnd tüend mèije.
WS39	Gang nō, de̊ bruun hùnd tuet de̊r nǖǖd.
WS40	I bi̇̀ mi̇̀t de̊ lüte da hi̇̀nde ǜber d' matte i̇̀s chorn gfaare.
