---
Bogennummer: '44754'
Ort: Rekingen
Gid: 17205
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-09-18 13:36:44.262017
Änderungsdatum: 2023-10-08 17:33:15.057605
Satzversion: 1
...
WS1	E ͥm Wēnter flüügt döör Lääub uͦmä.
WS18	Wänn tè du kännt hètsch wèrs anderscht use choo und dänn stiends besser mēt-t-èm.
WS19	Wèr hätt meer de Choorb mēt-t èm Flääìsch gschtòlä ?
WS20	Eͣ̈rr {'ä' ist unter 'E' notiert} hätt d ͤrgliiche tòò sē hèbèdenn zuͦm {'o' ist unter 'u' notiert} d' Tröschä gfròògett, ïetz händ sìss sälber gmacht.
WS21	Wemm hätt'r dïe nö̈i {Trema und Umlaut?} Gschēcht verzellt ?
WS22	Me muͦess {'o' ist unter 'u' notiert} luut rèdä, sōsch verschtòòt'r äìm need.
WS23	Mēr send müed uͦnd {'o' ist unter 'u' notiert} händ Doorscht.
WS24	Wōmmer gèschter hääi choo send, send d ͥe anderä schō eͥm {'i' ist unter 'e' notiert}Bett gsii uͦnd {'o' ist unter 'u' notiert} häm-pfescht gschlòòfä.
WS25	De Schnee ēͥsch {'i' ist unter 'ē' notiert} di letscht Nacht lēggä-blēbä, àber hüͦ̈t {'ö' ist unter 'ü' notiert} am Morgä ēscher vergangä.
WS26	E ͥm Bōngeͣ̈rt {'ä' ist unter 'e' notiert} hēndä schtö̀nd drüü schöniͤ {'e' ist unter 'i' notiert} Öpfelbö̀ͦö̀ͦmleͥ {'o' steht mittig unter den beiden 'öö' und ein grosser Gravisebenfalls mittig über beide 'öö'; ferner 'i' ist unter 'e' notiert} uͦnd {'o' ist unter 'u' notiert} träägid roteͥ {'i' ist unter 'e' notiert} Ö̀pfelìͤ {'e' ist unter 'ì' notiert} .
WS27	Chö̀-nèd'r nēd nō è chli {zunächst 'chlii', dann 2.'i' durchgestrichen} waarte, dänn gö̀mmer mēt-èn-and hääi.
WS28	S' schēckt siͤ {'e' ist unter 'i' notiert} nöͧ̈mme {'ü' ist unter 'ö' notiert}, dass'r nō dèrä Chiͤndäsachä {'e' ist unter 'i' notiert} mà-chäd.
WS29	Mēr händ kä-nìͤ {'e' ist unter 'ì' notiert} so hooche Berg wen-eer händ.
WS30	Wē män-ge {zunächst 'mänge', dann oben '-' zwischen 'n' und 'g' eingefügt} Paar Wöörscht und wē män-ge Lö̀ ͣ̈ö̀ib  {mittig unter 'öö' steht wohl 'ä' (wobei das Trema schwer lesbar ist) und ebenfalls mittig über beiden 'öö' ein grosser Gravis} Brood wänn-d'r ?
WS31	Ēch verstoon-ē need,  ͤ'r müend è chlìì lüüttr redä.
WS32	Händ'r kä Schtō̈ckliͤ {'e' ist unter 'i' notiert} wììsseͥ {'i' ist unter 'e' notiert} Söͦöìpfe {'o' steht unter 'öö'} bē mēr uͦfem {'o' ist unter 'u' notiert} Dēsch gfoͧndä {'u' ist unter 'o' notiert} ?
WS33	Siin Brüeder well i ö̀ö̀ïem {mittig über beiden 'öö' steht ein grosser Gravis; 'i' ist mit Trema geschrieben} Gaarte-n-ēn zwei nö̀ö̀ïe {mittig über beiden 'öö' steht ein grosser Gravis; 'i' ist mit Trema geschrieben} schöne Hüüser bòuwe.
WS34	Säb Woort ēsch-emm vo Herze choo.
WS35	Daa ēsch räächt gsìi von-è-nä.
WS36	Wafō̈r Vögeli sētzèd doo uͦfem {'o' ist unter 'u' notiert} Müürlē obä ?
WS37	D Buurä händ fö̀ö̀ìf {ein grosser Gravis steht über 'öö' } Schtierä uͦnd {'o' ist unter 'u' notiert und über 'u' ist etwas unleserliches durchgestrichen} nüün Chüä uͦff {'o' ist unter 'u' notiert} dè Mäͤrkt {'e' ist unter 'ä' notiert} bròòcht.
WS38	D Lütt send hō̈tt ali uͦff-em {'o' ist unter 'u' notiert} Fäld uͦm-määïed {'o' ist unter 'u' notiert}.
WS39	Gang nōō, däͤ {'e' ist unter 'ä' notiert} bruun Hōnd macht-dr nüüd.
WS40	Iͤ {'e' ist unter 'I' notiert} bee mēt dène Lüüte dò hēndä üͦ̈ber-d-Weͥsä {'ö' ist unter 'ü'  und 'i' ist unter 'e' notiert} ì-d-Pfrōcht gfaare.  
