---
Bogennummer: '45519'
Ort: Oberrieden
Gid: 15734
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Diese Sätze wurden offensichtli sorgfältig durchgelesen und an vielen
  Stellen sind Korrekturen mit Bleistift gemacht worden. Transkribiert ist jeweils
  die korrigierte Version, aber immer vermerkt, wenn die Korrektur mit Bleistift gemacht
  wurde.}'
Erstelldatum: 2023-10-25 13:00:27.008125
Änderungsdatum: 2023-11-29 19:47:25.434744
Satzversion: 1
...
WS1	Im Winter flüged die trochne Bletter i dr Luft umme.
WS17	Gang, bis so guet und säg diner Schwöschter, si söll d' Chleider für eueri Muetter fertig büetze u. mit usbürschte <(dr Bürschte suber mache)> {zunächst 'dr Bürschte suber mache', dann dies mit Bleistift eingeklammert und darüber 'usbürschte' - wobei zwischen 'us' und 'bürschte' ein kleiner Abstand ist (wohl wegen des darunter stehenden 'h' von 'Bürschte') notiert} .
WS18	Hettischt du in nu kännt, dänn wär alles anderscht cho, und es würdi <(täti)> {zunächst 'täti' geschrieben, dann mit Bleistift eingeklammert und 'würdi' über 'täti geschrieben} besser um en schtah !
WS19	Wä häp {zunächst 'hätt' geschrieben, dann die beiden 't' einzeln durchgestrichen und 'p' darüber geschrieben} mer min Chorb voll Fleisch gschtolle ?
WS20	Er häd eso ta, wië wänns en zum Trösche bschtellt hedded, si {zunächst 'sie', dann 'e' durchgestrichen} händs aber sälber gmacht.
WS21	Wemm häd er dië nöi Gschicht verzellt ?
WS22	Mer mues lut hepe, suscht verschtad er eus nüd.
WS23	Mer sind müed und händ Turscht.
WS24	Wo mer geschtert z' Abig hei cho sind, sind dië andere scho im Bett gsi und händ tüf gschlafe {zunächst 'gschafe', dann 'l' zwischen 'h' und 'a' eingefügt; ferner:  'tüf' ist nachträglich mit Bleistift oben zwischen 'händ' und 'gschlafe' eingefügt} .
WS25	De Schnee ischt dië Nacht bi öis ligge blibe, aber hüt dä Morge ischt er vergange.
WS26	Hinder öiserem Hus schtönd drü schöni Öpfelbäumli mit roote Öpflene.
WS27	Chönd er nüd na e chli <(es Augeblickli)> {zunächst 'es Augeblickli', dann mit Bleistift 's' von 'es' durchgestrichen, 'Augeblickli' eingeklammert und darüber 'chli' notiert} uf eus warte, dänn chömed mer mit i.
WS28	Ihr d[ö]rfed {zunächst wohl 'dar', dann 'a' mit 'ö' überschrieben und Wort als 'dörfed' beendet} nüd sorigi Chindereie triibe.
WS29	Euseri Berg sind nüd schüli höch, öieri sind vill höcher.
WS30	Wië mängi Wurscht und wië mängs Brod wänd er ?
WS31	I versta-n-i {zunächst 'versta-eu', dann mit Bleistift 'eu' durchgestrichen und 'n-i' darüber geschrieben} nüd, ir müend es bitzeli <chli> {zunächst 'bitzeli', dann mit Bleistift 'chli' darüber geschrieben} luuter rede.
WS32	Händ är  mer {zunächst 'e', dann mit Bleistift durchgesrichen und 'mer' darüber notiert} keis Schtückli wiißi Seupfe {zunächst 'für mi' geschrieben, dann durchgestrichen} uf mim Tisch gfunde ?
WS33	Sin Brüeder wott für sich {zunächst 'will', dann mit Bleistift durchgestrichen und 'wott für sich' darüber geschrieben} zwei schöni nöii Hüser i euerem Garte boue.
WS34	Das Wort ischt em vo Härze cho.
WS35	Da ischt rächt gsi vonene.
WS36	Was für Vögeli sitzed <(hocked)>  det {zunächst 'da' , dann 'a' durchgestrichen und 'et' mit Bleistift darüber geschrieben} uf em Mürli obe ?   
WS37	D' Bure händ föif Ochse und nün Chüe und zwölf Schöͣ̈fli vors Dorf use bracht, si händs welle verchaufe.
WS38	D' Lüt sind hüt alli uf em F[e]ld {zunächst stand etwas anderes, was aber unklar bleibt, an 2.Stelle und wurde dann mit 'e' überschrieben} usse und mäed {zunächst 'mähid' , dann 'h' und 'i' mit Bleistift durchgestrichen und 'e' über 'i' notiert} .
WS39	Gang du nu, de brun Hund tuet dr nüd.
WS40	I bi mit dene Lüte da hinne über d' Wise is Feld {zunächst 'Chorn', dann mit Bleistift durchgestrichen und 'Feld' darüber notiert} gfahre.
