---
Bogennummer: '44899'
Ort: Münzlishausen
Gid: 19527
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2024-05-08 14:54:09.802778
Änderungsdatum: 2024-05-08 17:04:53.044031
Satzversion: 1
...
WS1	Ìm Wi̇̀nter flüüge {zunächst 'flüge'} die̊ trochchne {zunächst 'trochne'} Bletter i̇̀ dr Lùft ùme.
WS14	Liebs Chi̇̀nd bliib dò ùnde stòò, di böse Gänse bisse di tod.
WS15	Du hàsch hǖ̀t am meischte gleert ùnd bi̇̀sch artig gsii, du dö̀rfsch eener haigoo ass di andere.
WS16	Du bi̇̀sch nòni gross gnue, fǜ̀r e̊ Fläsche Wii usz' tri̇nkke {zunächst 'trinke'}, du muesch zērscht nò wachse und grösser wèrde.
WS17	Gang. bi̇̀ss so guet, ùnd säg diner Schwö̀schter, si sèll d' klaider {zunächst 'kleider' ?} fǜ̇r {'eui' ist durchgestrichen} öiji Mueter {zunächst 'Muetter'} f[è]rtig nèije ùnd mi̇̀t dr Börschte bùtze.
WS18	Hèttisch du i̇̀n g 'kènnt, dänn wèrs {zunächst 'wars'} besser chōō, ùnd e̊s tèt besser ùm[] {unklar: 'ùme' oder 'm' mit einem Bein zu viel?} e̊n stòò {zunächst 'stōō'}.
WS19	Wèr {zunächst 'Wär' ?} hät min Chōōrb mi̇̀t e̊m Flaisch gschtòle ?
WS20	{'Är' ist durchgestrichen} èr höd e̊ so tòò, as hèt e̊ se̊n aagstellt zùm tröschsche {zunächst 'trösche'}, aber si hènds sälber tòò.
WS21	Wèmm hăt e̊r di nöï {zunächst 'neui'} Gschi̇̀cht verzèllt ?
WS22	Me muess luut {zunächst 'lut'} brüele {zunächst 'schreye'}, sùscht verschtoōt {zunächst 'verstoōt'} e̊r {'euis nēēd' ist durchgestrichen} i̇̀s nēed.
WS23	Mr si̇̀nd müed ùnd händ Dōrscht.
WS24	Wo mr geschter heicho si̇̀̇nd, si̇̀̇nd di andere i̇̀m Bett gsii ùnd händ scho fescht gschlòfe {zunächst 'gschòfe'} .
WS25	De̊ Schnee i̇̀sch die Nacht bi öis {zunächst 'euis'} li̇̀̇gge bli̇̀be, aber am Morge i̇̀sch e̊r vergange.
WS26	Hender {oder 'Hinder' ?} öisem {zunächst 'eusem'} Huus schtönd drǖ schöni Ö̀pfelbäumli {oder 'Ö̀pfelböimli' ?} mi̇̀t rote Ö̀pfeli.
WS27	Chöned e̊r nēd nò e̊s Auge̊bli̇̀ckli waarte, dänn chöme mr mi̇̀t e̊ch.
WS28	Ìr tö̀rfet {zunächst 'dö̀rfet} nēd dère {zunächst 'dare'} Chi̇̀̇ndereije triibe.
WS29	ö̀isi {zunächst 'Eusi'} Berge si̇̀nd nēd so höoch, öiji {zunächst 'eue'} si̇̀nd vi̇̀l hǒöcher.
WS30	Wi mängi Pfùnd Wȫ̇rscht ùnd wie̊vēl {zunächst 'weviel'} Brod wänd e̊r ?
WS31	I verstò-n-ēch nēd, e̊r müend e̊ chli {zunächst 'e̊chli' zusammen geschrieben, dann mit ganz dünnem senkrechten Strich getrennt} lüüter {zunächst 'lüter'} rède.
WS32	Händ e̊r käis Schtǜckli {zunächst 'Stǜckli', 'ch' unter der Zeile zwischen 'S' und 't' eingefügt} wissi Söipfe fǜr mee ūf e̊m Ti̇̀sch gfùnde ?
WS33	Sin Brüeder wi̇̀ll zwöi schööni {zunächst 'schöni'} nöiji Hüüser {zunächst 'Hüser'} i öijem {zunächst 'euem'} Gaarte {zunächst 'Garte'} boue {zunächst 'baue'}.
WS34	S' Woort chōnt {zunächst 'chunnt'} em vo Hèrze {zunächst wohl 'Härze'} .
WS35	Da isch rächt gsi von e̊ne̊.
WS36	Was hocked dò fèr {zunächst 'für'} Vögeli uf e̊m Mürli ?
WS37	D' Bure händ föif Ochse, nüün Chüüe ùnd zwölf Schòòf vòr 's Dōrf bròcht gha, die händ si wèlle verchauffe.
WS38	D' Lüüt {zunächst 'Lüt'} si̇̀nd hǜt ali {zunächst 'alli, dann 2.'l' durchgestrichen} dùsse uf e̊m Fäld ùnd tu̇end mäije
WS39	Gang nùme, de brun Hùnd tuet dr nü[d] {zunächst wohl 'nüt'}.
WS40	I bi̇̀ mi̇̀t de̊ Lüte dēt hinde ǜbr d' wēēs <Matte> {zunächst 'Wes', dann 2.'e' unter 1.'e' ergänzt; dann Wort durchgestrichen und darüber 'wēēs' geschrieben; auf der Zeile darunter steht 'Matte'} i̇̀s Chorn  gfaare
