---
Bogennummer: '44870'
Ort: Ursprung
Gid: 14773
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Der Lehrer hat auf Blankopapier geschrieben. Die Sätze 34 und 35 stehen
  vor Satz 33. Die Satznummern sind aber korrekt notiert.}'
Erstelldatum: 2023-05-15 13:57:03.221500
Änderungsdatum: 2023-05-25 18:37:45.903755
Satzversion: 1
...
WS1	ìm wînter flūge di tròchne blètter i dėr lùft ùme.
WS20	er hèt  {sic!}  als òb si i̇̀n zùm drö̀sche bschtèllt hǟtte, si hä̀nds aber sälber tòò.
WS21	wèm hèt 'er di nö̀i gschi̇̀cht verzèllt ?
WS22	Me muèss luut brüèle, sōsch verstòòt me ö̀is nìd.
WS23	Mi̇̀r si̇̀nd müèd ùnd händ dùrscht.
WS24	Wō me̊r gèster z' òbe zrùgg chō si̇̀nd, si̇̀nd di andere i̇̀m Bètt gsi ùnd hä̀nd gschlòòfe.
WS25	de̊ schnēē {der Querstrich geht über beide Buchstaben} i̇̀sch diè nacht bi ö̀is li̇̀gge bli̇̀be, aber hȫt i̇̀sch e̊r gschmo̊olze.
WS26	Hi̇̀nder öisem huus stö̀nd drǖ {zunächst 'dre|i', dann durchgestrichen und 'drǖ' darüber geschrieben} schȫni ö̀pfelbäimli mi̇̀t rōōte {der Querstrich geht über beide Buchstaben} ö̀pfeli.
WS27	Chö̀nd i̇̀hr ni̇̀d nò en augebli̇̀ck {zunächst 'augenbli̇̀ck', dann 'n' durchgestrichen} warte, denn chö̀m 'er mi̇̀t 'èch.
WS28	i̇̀r dö̀rfed ni̇̀d dère chi̇̀nderè|ie triibe.
WS29	öisi bǟrge sind ni̇̀d {'sind' ist mit Bleistift nachträglich oben zwischen 'bǟrge' und 'ni̇̀d' eingefügt} hö̀ch, diè bi ö̀ich si̇̀nd vi̇̀l hȫcher. 
WS30	Wi̇̀vi̇̀i̇̀l pfùnd wö̀rscht ùnd wi̇̀vi̇̀i̇̀l brōt wǟnd 'e̊r ?
WS31	i verstòò 'nèch ni̇̀d, i̇̀r müènd e̊s bizeli lǖter rède.
WS32	hǟnd' e̊r käis schtȫkli wiissi säipfe fȫr mi̇̀ ūf em ti̇̀sch gfùnde ?
WS33	Sin brüèder wi̇̀l zwai schȫni, nöii hüüser i öiem garte bouwe.
WS34	Das wōrt i̇̀sch vo hǟrze cho !
WS35	das isch rächt gsii vo i̇̀ne !
WS36	was  hòcke dò fȫr vö̀geli ōf dèm müürli ?
WS37	d' buure hǟnd föif <(òchse)> stière ùnd nüün chüè ūnd zwö̀lf schöfli vōr's {hier wurde ein Wort angefangen und dann in Klammern gesetzt '(h[i])' } dōōrf bròcht, ùnd hä̀nd si wèlle verchaͣ̈ufe.
WS38	d' lüüt si̇̀nd hǜt alli dōōsse {der Querstrich geht über beide Buchstaben} ōōf' em {der Querstrich geht über beide Buchstaben; ferner: über dem 1.Aufstrich von 'm' steht ein Punkt} fäld ùnd mè|iè.
WS39	gang nùme, de bruun hùnd macht 'er nüüd.
WS40	i bė̀ mi̇̀t de̊ lüüte dò hi̇̀nde ǜber d 'mat is chòrn gfaare.
