---
Bogennummer: '45595'
Ort: Oberrüti
Gid: 17427
Transliterent: fellmann
Anmerkungen: "Der Lehrer versucht möglichst genau phonetisch zu schreiben. Dazu setzt\
  \ er unter dem Wort jeweils ich Klammern den zu hörenden Laut; das Wort schreibt\
  \ er aber 'normal deutsch'. In der Transkription schreibe ich das Wort so, wie es\
  \ zu hören ist und dahinter in runden Klammern, das Wort wie vom Lehrer notiert.\n\
  Beispiel Satz 3: Im Bogen notierte der Lehrer ... bald ... und unter 'l' steht '(u)';\
  \ Notation in der Transkription:  ... baud (bald) ...\n\nKann es sein, dass der\
  \ Lehrer das IPA-Zeichen \"Breathy voiced\" (1. Zeile und mittlere Spalte) aus der\
  \ DIACRITICS-Tabelle in \nhttps://www.internationalphoneticassociation.org/IPAcharts/IPA_chart_orig/pdfs/IPA_Kiel_2020_full.pdf\n\
  verwendet?"
Erstelldatum: 2022-01-05 19:11:19.352284
Änderungsdarum: 2022-01-13 15:42:23.239327
...
WS1	ìm Wìnter flüügid‿di trochne blètter i de Lùft ùme.
WS20	er hèd‿deglie [unter dem 2.'e' stehen zwei Pünktchen] tòh, as wi wènn-s'-e̊ zùm trösche bstèut (bstèllt)  hättid; si händ's aber säuber (sälber) gmacht.
WS21	i wèm hèd-e̊r di neu gschìcht‿pferzèut (gschìcht‿verzèllt) ?
WS22	me̊ mues [unter 'e' stehen zwei Pünktchen] luut brüele, sǜsch verstòòd e̊r is nììd.
WS23	me̊r sìnd‿müed ùnd händ‿dùùrscht.
WS24	wo me̊r gèschter zobig ùme choo sìnd, sìnd‿di andere scho ìm bètt‿gsi ùnd händ‿fèsch gschlòfe.
WS25	de schnee ösch hìnecht lìgge bblìbe, aber hǜtt am mòrge-n-öscht-e̊r vergange.
WS26	hìnder euisem huus stö̀nd‿drüü schööni ö̀pfubäumli mìt rote-n-ö̀pfeli.
WS27	chö̀nid e̊r nìd no es bìtzeli ùf is warte, me̊r chömid‿dè ä mìt.
WS28	e̊r tö̀rfid‿ned sèttigi chìnderèie mache.
WS29	ö̀isi bèrg sìnd nìd‿grad hööch, euji sìnd vìuw (vìll)  höcher.
WS30	wi mängs pfùnd wǜrscht ùnd wi mängs brood müend e̊r haa ?
WS31	i verstòhn-e̊ch nììd, e̊r müend e chlì lüüter rède.
WS32	händ e̊r nèd e̊s bìtzeli wiissi seipfi fǜr mìch ùf em tìsch gfùnde ?
WS33	si brüeder wòtt‿zwö̀i schöni neuji hüüser i euiem garte bòue.
WS34	das woort ösch e̊m vo hèrze choo.
WS35	da‿ösch rächt ͜ gsi vo-n-e̊m.
WS36	was hö̀ckelid‿dò fǜr vö̀geli ùf em müurli òbe ?
WS37	d'‿bbuure hänpfö̀if (händ‿fö̀if) òchse-n-ùnd nüün chüe ùnd zwöuf (zwölf) schö̀ö̀fli vòr s' doorf ùse tòh, si händ-͜ si wèuwe (welle) [unter 'u' stehen zwei Pünktchen] verchauffe.
WS38	d' lüüt sìnd hǜtt au-zäme-n-ùfem (all-zäme-n-ùfem)  fäud (fäld) ùsse-n-ùnd mèèjid.
WS39	gang nùr, dè bruun hùm‿macht ͜-de̊r (hùnd‿macht..)  nüd. 
WS40	i bì mìt‿de̊ lüüte dò hìnde-n-ǜber d'‿matt ie [unter 'e' stehen zwei Pünktchen] is chòrn gfahre.
