---
Bogennummer: '21174'
Ort: Hänigsen
Gid: 112168
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Hans-Ulrich Henheik
Anmerkungen: 'Um die Lesbarkeit des transliterierten Textes zu erleichtern, wurde
  das Lang-S der Vorlage als einfaches S wiedergegeben (statt mit dem orthografisch
  korrekteren "ſ"). Damit der Unterschied zum End-S der Vorlage trotzdem erkennbar
  blieb, wurde dieses mit einem Ogonek " ̨" gekennzeichnet.

  "Später in Hänigsen" bezieht sich auf Theodor Lampe: "Lampen Thedor vertellt", Celle
  1982. (Theodor Lampe wurde am 9.10.1882 in Hänigsen geboren. Er war Lehrer in Dedenhausen,
  später in Celle.)

  In seinem Aufsatz "Entrundung in ostfälischen Mundarten" im Jahrbuch des Vereins
  für niederdeutsche Sprachforschung von 1984 (S. 83–117) erwähnt Werner Flechsig
  die Hänigser Verhältnisse nicht. Es ist auch weder im Wenkerbogen noch in Theodor
  Lampes Texten eine Regelmäßigkeit festzustellen, es treten sowohl entrundete Laute
  als auch solche ohne Entrundung in gleicher phonetischer Umgebung auf, zum Teil
  sogar in denselben Worten bzw. Wortformen. Bei Theodor Lampe scheinen die entrundeten
  Formen quasi auf dem Rückzug zu sein, "ehn" und "ehr(er)" gibt es bei ihm gar nicht
  (es sei denn, man wollte vereinzelte "oe(h)n" bzw. "oehre" als Zwischenstufen ansehen).
  Man könnte vermuten, dass es sich um eine ältere lokale Erscheinung  handelt, die
  durch zunehmenden Kontakt mit der Umgebung zurückgedrängt wurde. (Sind dann Formen
  wie "drüwen" statt "driewen" und "füf" statt "fief" Hyperkorrekturen?)'
Original Anmerkungen: 'Auf der Rückseite bzw. Seite B:

  Frage 4 (Lautet st, sp in den mundartlichen Wörtern für Stall, stellen, sprechen,
  Spiel etc. wie scht-, schp- oder wie ßt-, ßp-?): beide Alternativen sind durchgestrichen!
  {Das lässt sich wohl nur so erklären, dass der Lehrer die Frage nicht verstanden
  hat, bzw. keine andere Aussprache kannte als s-t, s-p.}'
Erstelldatum: 2023-05-03 14:11:48.549165
Änderungsdatum: 2023-05-03 14:11:48.549165
Satzversion: 1
...
WS1	In Winter fleiget dä drögen Blär dör dä Luft herumme.
WS18	Herst du ehn {e- statt ö- durch Entrundung} e kennt! denn wer et anders̨ e komen, un et deh bäter um ehn stahn.
WS19	Wer hat mik mienen Korf mit Fleisch e stohlen?
WS20	Hei deh sau, as̨ hern sei ehn taun döschen bestellt; sei het et awer silms̨ {-i- statt -ü- durch Entrundung} e dahn.
WS21	Wem hat hei dä nie Geschichte vertellt?
WS22	Man mot lue schrieen, süß versteiht hei isch {-i- statt -ü- durch Entrundung} nich.
WS23	Wie sind meue und het Döst.
WS24	"As̨ wie gistern Abend taurügge keimen, da leigen dä Andern all tau Berre {ältere Form, in der Umgebung auch ""Bedde""} un werren faste in schlapen. {in der Umgebung häufiger, später in Hänigsen stets ""slapen"" (bzw. ""inslap’n"")}"
WS25	"De Sni is̨ düsse Nacht bie isch liggen e bleben, awer van Morgen {ältere Bildungsweise, in der Umgebung meist ""hüte Morgen""} is̨ hei e smolten."
WS26	"Hinder usen Huse staht drei schöne Appelbömchen {-chen ist im lokalen Niederdeutschen unüblich, stattdessen ""lüttje Appelböme"" etc.} mit rohen Appelken. {auch statt -ken in der Umgebung häufiger ""lüttje …""}"
WS27	"Künt jü {auch später in Hänigsen ""jü"" neben ""ji""} nich noch n Ogenblick up isch teuwen, denn gah {Wegfall des -t in schneller Sprechweise} wie mit jück."
WS28	"Ji drewet {-e- statt -ö- durch Entrundung} nich saune Kinnerieen dr[ü]wen. {wenn -ü- korrekt ist, steht  diese Form im Kontrast zur Umgebung, die nur ""drieben"", ""driewen"" etc. kennt; später in Hänigsen ""drieven""}"
WS29	Use Barge sind nich sehr hoch, jue sind veel höger.
WS30	Woveel Pund Wost un woveel Brod willt {-i- statt -ü- durch Entrundung} ji hebben.
WS31	Ick verstahe jick {-i- statt -ü- durch Entrundung} nich, ji met {-e- statt -ö- durch Entrundung} n betjen luer spräken.
WS32	"Het ji nein {alte Form, auch später in Hänigsen neben vereinzelten ""kein"" – was in der Umgebung fast ausschließlich gilt (neben ""nich ’n"")} betjen witte Sepe vor {wohl verschrieben statt ""for"" wegen des Gleichklangs} mick up mienen Dische funn’n?"
WS33	Sien Brauer well sick twei schöne niee Hüser in juen Gar’n buen.
WS34	"Dat Wort kamm öhm {Endung auf -m in der Umgebung und später in Hänigsen unüblich, stets ""öhn(e)"", ""ühn"" etc., bzw. hier ""ehn""} von Harten!"
WS35	"Dat was̨ recht van hei. {""ihnen"" wurde wohl als Einzahl aufgefasst, Nachbarorte bieten hier u.a. ""öhnen"", ""jück"", ""sei""}"
WS36	"Wat sitt dar vor Vogels̨ boben up der Mierchen? {-chen ist im lokalen Niederdeutschen unüblich, stattdessen ""up der lüttjen Muer"" etc. oder ganz ohne Diminiutivbildung – nach ""up der"" ist zudem das Neutrum ungewöhnlich}"
WS37	"Dä Buern herren füf {diese Form steht im Kontrast zur Umgebung, die nur ""fief"" etc. kennt; später in Hänigsen ""fiv"" (bzw. ""fiw"")} Ossen un negen Käue un twölf Schäpken vor dat Derp {-e- statt -ö- durch Entrundung} e brocht, dä wolln sei verköpen."
WS38	Dä Lüe sind hüte alle butten up den Felle un maiet.
WS39	Gah man, dä brune Hund daut dick nicks̨.
WS40	Ick bin mit den Lüen da hin’n ower dä Wisch int Korn e feuert.
