---
Bogennummer: '33731'
Ort: Gross-Gerau
Gid: 95323
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Rolf Kanert
Anmerkungen: 'Ab Satz 25 wurde der Bogen in einer anderern, ordentlicheren Schrift
  ausgefüllt.

  Auffällig sind die Übereinstimmungen mit dem Bogen aus Klein-Gerau, insbes. die
  konsequente Wiedergabe des vokalisierten r (hört > heat) sowie des lenisierten t.'
Original Anmerkungen: '{Auf Seite A unten in ders. Schrift wie Sätze 25-40:}

  x Aussprache wie im Englischen in: Salt, Boat, Ball, Coast.

  xx Nasenlaut.


  {Auf Seite B in derselben Schrift wie Sätze 1-24:}

  Bemerkungen: 1. Imperfaita sind ungebräuchlich. Statt: sie wollte z.B. heißt es:
  sie hod gewolld. 2. Das n am Ende fällt aus u. verwandelt sich in vielen Wörtern
  in einen Nasenlaut, z.B. statt thun dun {ursp. duh, das h wurde ausgestrichen und
  in anderer Tinte ein n darüber gesetzt} ohne daß n hörbar ist. 3. Da {sic!} a wird
  in vielen Wörtern mit o vermischt ausgesprochen z.B. die Nōcht <(Nacht)> die Mōd
  <(Magd)> <(wie häufig im Englischen)>. 4. T wird meistens wie d ausgesprochen: Woad,
  dōd <(Wort, todt)>. In der Mitte des Worts fällt es meistens aus: unne, hinne <(unten,
  hinten)> 5. r od. er am Ende lautet als ă <(äă statt er)> z.B. miă, diă, deă = mir,
  dir, der Windā st. Winter, sauwā st. sauber {sic! Der Übersetzer setzt hier tatsächlich
  das Längenzeichen}; aber so in der Mitte: Häăz st. Herz.'
Erstelldatum: 2025-01-23 15:29:31.884401
Änderungsdatum: 2025-01-24 12:37:46.454424
Satzversion: 1
...
WS1	Im Windă flije die druckene Blerră dorch die Luft ĕrimm
WS17	Geh, sei so gud unn sōk deină Schwesta, sie solld die Klāră foă eiă Modă {urspr. doppeltes d, das erste ausgestrichen} fäădig nejĕ unn mid dĕ Bäăschd rah <(sauwă)> {urspr. -bă ausgestrichen} mache.
WS18	Häst'enn gekennd! Dann wäăs annaschd kumme unn 's dehd bessă immen steh.
WS19	Wäă hŏd mă mein Korb mid Flahsch gestohlĕ?
WS20	Äă hŏd so gedoh, als herre senn zum Dräsche bestelld,; sie honns awă selwă gedoh.
WS21	Wem horra die nei Geschichd eazehld?
WS22	Mă muß laud kreische, sunst văstehră uns nett.
WS23	Mă sein mihd unn honn doăsch {durch Beschädigung am Blatt fehlt ein Teil des h und alles weitere}
WS24	Wie ma gestr {sic!} Owend serück kumme sein, do honn die Annăn schunn all im Bett geläje unn wān fest am schlōfe.
WS25	Dĕ Schnee eß heid Nāchd {über dem a ein x als Verweis auf  Anmerkung am Ende des Bogens; s. Seite B bei uns leiĕ geblĕwĕ, ăwă heid Moăjend essă geschmolse. <(essă = eß͡ ă = ist er)
WS26	Hinnă unsăm Haus schdehe drei schenĕ Ebbelbemăchă mĭd rorĕ Ebbelchă.
WS27	Kenndă nett {mehr weiches d} nochĕ Āgeblickelchĕ uff uns wādĕ, dann geh mă mireich. <(mir͡ eich = mit euch.)>
WS28	Eă deăfd so ka {über dem a ein x als Verweis auf  Anmerkung am Ende des Bogens; s. Seite B} Kinnareiĕ dreiwĕ.
WS29	Unsă Bäăjĕ sein nett seă hoch, eiă sein veel hechă.
WS30	Wĭv'l Pund Woăschd unn wĭv'l Brod wolldă hon. {über dem n zwei x als Verweis auf  Anmerkung am Ende des Bogens; s. Seite B}
WS31	Ich vaschdeh eich nett, eă mißd ĕ bischĕ laură schwätzĕ.
WS32	Heddă ka {über dem a ein x als Verweis auf  Anmerkung am Ende des Bogens; s. Seite B} Stickelchĕ <leises k> weiß Sāfe foă mich uff meum Disch gefunne.
WS33	Sein {über dem n zwei x als Verweis auf  Anmerkung am Ende des Bogens; s. Seite B} Brură will sich zwā schenĕ neiĕ Heisă in eiăm Gāde bauĕ.
WS34	's Woăd essĕm vum Häăze kumme.
WS35	Deß wā rǟchd vunn ehnĕ.
WS36	Wăs {über dem a ein x als Verweis auf  Anmerkung am Ende des Bogens; s. Seite B} sitzĕ do fă Veëlchă <zweisilbig> ŏwĕ uffĕm Meiăchĕ.
WS37	Di Bauăn harrĕ finf Ochsĕ unn neun {über dem n zwei x als Verweis auf  Anmerkung am Ende des Bogens; s. Seite B} Kih unn zwelf Schefăchă voăs Doăf gebrōchd, die wolldĕ sĕ văkāfĕ.
WS38	Dĭ Leid sein heid all drauß uffĕm Feld unn meĕ. <(meĕ = 2 Silben)>
WS39	Geh noă, dĕ braun {über dem n zwei x als Verweis auf  Anmerkung am Ende des Bogens; s. Seite B} Hund dud dă nichs <(chs = x, wie in fix)>.
WS40	Ich sein mid dĕ Leid do hinne ĭwă dĭ Wiß ins Koăn gefahn.
