---
Bogennummer: '17979'
Ort: Holumtz (Holumnica)
Gid: 547190
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Heinz Müller
Anmerkungen: "1. Der Bogen ist nicht in deutscher Kurrentschrift verfasst. \n2. Das\
  \ diakritische Zeichen \" ̊ \" unterscheidet den Buchstaben \"u\" vom Buchstaben\
  \ \"n\". \n3. <kůrz> oder <kürz> (WS17) bzw. <lang> notiert über oder unter einem\
  \ Wort meint: die kurze bzw. lange Aussprache des Vokals.\n"
Erstelldatum: 2024-03-01 18:02:39.120419
Änderungsdatum: 2025-03-11 19:51:21.802110
Satzversion: 1
...
WS1	Ën Wėnter {richtig: Wënter} flieg'n die traig'n Bláter ën der Loft rëm.
WS12	Wů geist {richtig: gajst} dů hinn, soll ber mët dėr geihn {richtig: gajn} ? {meint: mit dir gehen}
WS13	S sain schlaichte zëtn. {richtig: Zait'n}
WS14	Main lieb(es) Kënd, blaib hie ůnar steijn {richtig: stajn} , die beis'n {bajs'n} Gans baïs'n {richtig wäre: baiß'n} dich teüdt.
WS15	Dů host hait om mësten gelërt ond bëst růhi(g)ch gewast, dů darfst ëher eheijm gein {richtig: gajn} als die Ondern.
WS16	"Dů bëst noch nëch grůs genůg, ëm e {richtig: a} Flosch Wėn {richtig: Wain} aůszůtränkn, dů můsst arst {richtig: arscht} noch e {richtig: a} wos wochsen {das geschlossenen ""o"" wird lang ausgesprochen} ond gresser {richtig: grësser} wardn."
WS17	Gei {richtig:Gaj}, sai seü gůt <kürz>  ond sog s dainer Schwaster, sie {richtig<. die} <lang> soll die Kleider vor eüre {richtig: aire} Mutter fartich nähn ond mët der Birscht rein {richtig: rain} mochn.
WS18	"Hėst {richtig: <Hëst>, eigentlich: ""Hatst""} dů nen gekonnt? {zunächst als Frage verstanden, dann wurde das Fragezeichen gestrichen} dann wërs onders gekůmm ond s wollt basser ëm nenn steihjn {richtig: stajn}."
WS19	Wár hot mer main Kerb {richtig: Korb} met {richtig: mët} Flajsch gesteüln. {Punkt statt Fragezeichen}
WS20	"Hár titt eseü, {<als> wurde durchgestrichen} wȧnn {richtig: ""wann""} së {richtig: ""se"" mit unbetontem ""e"")} nėn {richtig: ""nen"" mit unbetontem ""e"" } hatten zůs Draschn bëstollt {richtig: bestollt mit unbetontem ""e""}. die hons ober salber geteün."
WS21	Wán hot hár die náie Geschicht derzeilt {richtig: darzajlt}. {Punkt statt Fragezeichen}
WS22	Bier můssen laůt kráschen {richtig: kraischen} , sonst versteihjter ůns nëch.
WS23	"Bier sain mied ond hon {das geschlossenen ""o"" wird lang ausgesprochen} Důrscht."
WS24	"Wieber gastern Zeübnst zůrëckgëkůmm {richtig: ""zůrëckgëkůmm sain"" oder ""zůrëckkůmm""} hon{das geschlossenen ""o"" wird lang ausgesprochen} die ondern schůn {auch: schůnt} ëm Batt gelagen ond fast geschleüfn."
WS25	"Der Schnej{richtig: Schnaj} es {richtig ës} hënt nocht {das geschlossenen ""o"" wird lang ausgesprochen} baij {richtig: bai} ůns liegen gebliebn, ober {""o"" wird kurz ausgesprochen} hait frieh ëser getaht."
WS26	"Hënder ůnsern Haůs stejhn {richtig: stajhn} drai scheine {richtig: ""schajne""} Appelbeim {richtig: ""Appelbajm""} mët reüdn App'lchën."
WS27	"Konn der nëch an Eügenblëck of ůns worten {das geschlossenen ""o"" wird lang ausgesprochen} , dann gei ber mët aich."
WS28	Ihr derft {richtig: darft} nech {richtig: nëch} sëttë {richtig: sëtte} Kënderain machen {richtig: mochen}.
WS29	Ůnsere Barich saijn {richtig: sain} nëch sëhr hoch, aire sain vill hëcher.
WS30	Wifll Tfond Wůrscht ond wifl Breüt wëll der hon?
WS31	"Ich verstejh {richtig: verstajh} aich nech {richtig: nëch} , ihr můsst s bëschen laůter reiden {richtig: ""rajden""}."
WS32	Ho der keijn {richtig: kajn} Stëckl wajse {richtig: waiße} Sejf {richtig: Sajf} vor mich of main Tësch gefonn?
WS33	Sein {richtig: Sain} Brůder wëll sich zwa {ursprünglich: zwei, dann richtig korrigiert: zwa} schejne {richtig: schajne} naie Heiser {richtig: Haiser} en {richtig: ën} aiern Gortn baůn.
WS34	"Dos Wart {richtig: Wort, das geschlossenen ""o"" wird lang ausgesprochen} es {richtig: ës} nen gekůmm von Herz'n. {richtig: Harz'n.}"
WS35	"Dos wor {das geschlossenen ""o"" wird lang ausgesprochen} raicht von eůch {richtig: aich}."
WS36	"Wos sëtzen hie vor Veiglchen eübn ofn Maierchn {Im Wort <Maierchen> wurde das unbetonte zweite ""e"" durchgestrichen}."
WS37	"Die Paůer hohn fënf <fünf> Ochsn ond najn {richtig: nain} Kieh ond zwëlf Scheüf vor dos Derf {richtig: Dorf, das geschlossene ""o"" wird lang ausgesprochen} gebrocht {das geschlossenen ""o"" wird lang ausgesprochen}, die wollten së {richtig: se mit unbetontenm ""e""} verkeifn.{richtig: verkajfn}"
WS38	Die Lait sain hait olle ofn Fald ond mähn
WS39	Gei nor {auch: nont}, dar braune Hůnd titt der nischt
WS40	Ich sai mëtn Lajden {richtig: Laitn} deü hëntn {auch: hënner} iber die Wies ëns Korn gefohr'n.
